Material ID,Formula,Crystal System,Sites,Energy Above Hull,Formation Energy,Volume,Density,Band Gap,Is Gap Direct,Is Metal,Magnetic Ordering,Total Magnetization
mp-281,YbCo2,Cubic,6,0,-0.222114392,88.13082936,10.96237103,0,False,True,FiM,4.1973829
mp-310,NpCo2,Cubic,6,0,-0.079578203,90.1317702,13.07573351,0,False,True,FiM,3.816306
mp-336,SmCo2,Cubic,6,0,-0.078742238,95.22391335,9.354801407,0,False,True,FiM,4.0004971
mp-445,NdCo2,Cubic,6,0.07662491,0.058429268,97.58149457,8.920568868,0,False,True,FiM,3.846209
mp-537,ErCo2,Cubic,6,0,-0.226923387,89.31411053,10.60217352,0,False,True,FiM,4.0870044
mp-542633,GdCo2,Cubic,6,1.630257117,1.548743027,91.78228041,9.954895682,0,False,True,FiM,10.3007027
mp-568769,LaCo2,Cubic,6,0.205877329,0.181393493,93.2431958,9.145540349,0,False,True,NM,0.0003895
mp-632,TmCo2,Cubic,6,0,-0.244957845,88.68243183,10.74042718,0,False,True,FiM,4.2013949
mp-670,NbCo2,Cubic,6,0.018882448,-0.127613473,78.31978939,8.937624105,0,False,True,FM,6.6304551
mp-695,TiCo2,Cubic,6,0.05051565,-0.220888346,74.81443229,7.357050245,0,False,True,FiM,4.0632222
mp-863,PuCo2,Cubic,6,0,-0.09970724,90.40728705,13.29302752,0,False,True,FiM,6.0369708
mp-929,ZrCo2,Cubic,6,0.035919415,-0.221259962,83.59897427,8.306388065,0,False,True,FiM,4.0298094
mp-22488,Co2C,Orthorhombic,6,0.109091769,0.109091769,54.9162865,7.854354165,0,False,True,NM,0.0001597
mp-22631,Co2N,Orthorhombic,6,0.177865282,0.177865282,53.6545302,8.162606847,0,False,True,NM,0.0278467
mp-616512,Y3Co2,Orthorhombic,20,0.010830434,-0.129559904,457.0243878,5.589344234,0,False,True,NM,0.0131241
mp-1102616,Co2Ge,Orthorhombic,12,0.030897123,-0.017419259,136.0098282,9.303542465,0,False,True,FM,6.6205707
mp-19905,Co2Si,Orthorhombic,12,0,-0.331056189,125.3226786,7.735513407,0,False,True,FM,6.0605087
mp-22204,Co2P,Orthorhombic,12,0,-0.406338853,127.2271037,7.770510525,0,False,True,FM,4.5759904
mp-11800,Co3Se4,Monoclinic,7,0.045771515,-0.304040632,117.1924322,6.980376302,0,False,True,FM,2.371837
mp-1095461,NdCo3,Trigonal,12,0.016893185,-0.001817641,185.1505854,8.63786781,0,False,True,FiM,10.0507019
mp-1095562,TbCo3,Trigonal,12,0,-0.140580489,174.3262045,9.593813592,0,False,True,FiM,10.1770251
mp-1101053,SmCo3,Trigonal,12,0.058086134,-0.010558955,181.1674858,8.996006148,0,False,True,FiM,0.1981593
mp-1101900,LuCo3,Trigonal,12,0.044197806,-0.156311357,168.898004,10.37529413,0,False,True,FiM,0.4203505
mp-1102252,TmCo3,Trigonal,12,0.047106319,-0.140126859,169.1250885,10.18366604,0,False,True,FiM,2.9080023
mp-1102437,ThCo3,Trigonal,12,0.026514756,-0.09348067,181.3043157,11.23344823,0,False,True,FM,2.6763607
mp-1102468,UCo3,Trigonal,12,0.021163668,-0.060599435,161.6953321,12.78031183,0,False,True,FM,0.1249281
mp-22452,PuCo3,Trigonal,12,0.336827938,0.262047509,158.754972,13.20438928,0,False,True,FiM,2.7758764
mp-2588,YCo3,Trigonal,12,0.050554188,-0.06666458,175.5230036,7.541135565,0,False,True,FiM,0.4639268
mp-30558,HoCo3,Trigonal,12,0,-0.168806519,172.5711092,9.86473101,0,False,True,FiM,11.8217855
mp-411,ErCo3,Trigonal,12,0,-0.187152957,171.0885062,10.01802051,0,False,True,FiM,11.8462948
mp-568945,DyCo3,Trigonal,12,0,-0.154753695,174.0357372,9.712146917,0,False,True,FiM,11.8028232
mp-570872,CeCo3,Trigonal,12,0.02781178,-0.147834257,173.9206583,9.077427284,0,False,True,FiM,8.5088308
mp-571334,PrCo3,Trigonal,12,0.028132551,0.026595048,188.0218388,8.417616997,0,False,True,FiM,10.0688837
mp-7851,TaCo3,Trigonal,12,0.022571236,-0.21759491,140.0638483,12.72391803,0,False,True,NM,0.0189908
mp-1006282,Nd7Co3,Hexagonal,20,0.064786025,0.055894277,526.3860073,7.485833296,0,False,True,NM,0.0003641
mp-30565,Th7Co3,Hexagonal,20,0,-0.152962934,505.9839008,11.82148467,0,False,True,NM,1.60E-06
mp-570557,NbCo3,Hexagonal,24,0.066042291,-0.074462705,298.4585287,9.003407474,0,False,True,FiM,11.5892573
