,KNN,LogisticRegression,RandomForest,DecisionTree,SVC,GaussianNB
Sites,0.0026745333466447374,0.006268512083470149,0.0016409346168573253,0.0020198451687622526,0.0018706566531625785,0.02913202837303999
Energy Above Hull,0.018744520136400218,0.01840295337593352,0.009991109152869233,0.01639139819602464,0.019956680156872145,0.026115783686815712
Formation Energy,0.029593921938245147,0.03258063064952502,0.015880633336173556,0.022480207385073038,0.028272699461847114,0.003215948527972914
Volume,0.01954980908184744,0.013372463884761534,0.009131051301040938,0.02330038985274152,0.01814942313884886,0.005486838113113169
