,kNN,DecisionTree,RandomForest,NaiveBayes,SVC,LogisticRegression
Crystal System,0.5454545454545452,0.3902439024390244,1.148936170212767,1.1176470588235297,0.4062500000000001,0.39130434782608686
Sites,0.2545454545454545,0.0,0.276595744680851,-0.029411764705882398,0.20833333333333334,0.22826086956521738
Energy Above Hull,-0.12727272727272712,0.0,-0.4042553191489367,0.029411764705882307,0.04166666666666656,0.08695652173913052
Is Metal,0.0,0.0,0.0,0.0,0.0,0.0
Is Gap Direct,0.0,0.0,0.0,0.0,0.0,0.0
Formation Energy,-0.07272727272727253,0.0,0.14893617021276598,-0.11764705882352941,0.09374999999999992,0.13043478260869565
Volume,0.1090909090909091,0.1341463414634147,0.04255319148936154,-0.029411764705882398,0.15624999999999997,0.29347826086956513
Density,0.29090909090909084,0.47560975609756095,-0.2127659574468088,0.029411764705882224,0.09374999999999996,-0.1304347826086955
Band Gap,0.0,0.0,0.0,0.0,0.0,0.0
